Date,gu,dong,Actual,Predicted
2024-02-22,23,85,81750,85036.98035085884
2007-03-02,23,88,21700,19931.026423378764
2020-02-16,23,250,36400,34315.18518518518
2017-01-12,23,130,38000,36941.085699188756
2018-02-08,23,88,48000,42430.78095715251
2011-02-28,23,158,23950,22586.211477178334
2008-06-13,23,158,18100,15909.529539717618
2006-11-27,23,85,10000,9270.698606241254
2021-10-23,23,88,55500,52476.46250971251
2018-09-10,23,158,27300,31197.08955804544
2008-09-19,23,85,25400,23843.157216708136
2020-06-20,23,158,59000,56218.6327411015
2017-07-10,23,130,39800,38453.25632583401
2020-01-14,23,88,30000,30404.23785213443
2012-01-17,23,88,28000,28130.442953363956
2020-12-12,23,88,68000,69955.07482330147
2017-09-13,23,83,23600,25154.361069410246
2021-08-14,23,250,78500,73942.67064916428
2021-01-19,23,158,85700,93746.50527855287
2006-05-09,23,88,15600,16161.087502546765
2017-07-10,23,130,27900,27582.98588603948
2018-07-30,23,250,39500,38946.98188405797
2011-01-13,23,158,31900,33208.11363348032
2019-02-11,23,85,45300,44724.77855900139
2008-01-30,23,158,27900,29240.882629137126
2008-01-18,23,85,21300,23675.734798354264
2009-05-04,23,158,16900,17768.076919024086
2008-02-26,23,130,21000,22059.205917459567
2012-04-15,23,85,27300,30736.718427286418
2020-02-17,23,158,23000,23489.732450406973
2018-05-09,23,250,11900,12098.216506277582
2008-04-05,23,85,25000,23130.354911055554
2022-03-23,23,85,60000,60082.44914732694
2015-07-27,23,85,41000,36397.47657836081
2012-10-15,23,85,27800,27652.629793255477
2012-01-12,23,83,37650,36537.964526996715
2006-06-24,23,130,16450,17251.66457396555
2020-06-30,23,85,47500,53691.08914218641
2016-06-06,23,85,17800,16317.034654749174
2017-07-22,23,88,28500,36501.795510045515
2015-05-06,23,85,28000,28731.94108288397
2011-01-25,23,130,25000,26213.425116005998
2014-06-18,23,158,33494,33466.49745453612
2016-06-30,23,88,38500,44449.750886035086
2014-02-24,23,88,37700,37184.33577136873
2012-12-05,23,88,42800,48157.24421939233
2017-08-18,23,130,37000,36022.65489922913
2013-11-06,23,85,36800,35009.61786625893
2006-03-17,23,158,29700,32385.495086923656
2014-11-30,23,158,22500,23220.397214220407
2008-02-19,23,83,17000,23941.676932212264
2008-02-11,23,85,18000,22166.648097056895
2017-06-06,23,130,46800,43865.21353917432
2020-06-27,23,130,29800,28756.437265106015
2016-09-08,23,130,44350,43019.61613092393
2009-08-17,23,88,26000,25007.90257502398
2014-11-15,23,158,18450,19933.213041883733
2020-03-07,23,85,68000,61916.389935015766
2012-03-27,23,158,23000,28652.133669461313
2013-09-29,23,83,27070,28348.228560188025
2014-10-01,23,158,13500,14966.394339437316
2006-11-26,23,158,9500,10818.026191863222
2021-05-08,23,85,37800,36631.63544526618
2019-10-11,23,85,55000,55420.51498932667
2019-09-10,23,85,35900,38477.65608444538
2019-08-15,23,130,83900,86072.94477028349
2017-01-23,23,158,38500,39188.21849544218
2009-06-23,23,83,17500,22449.946725277146
2017-09-07,23,158,27500,28070.778386738348
2013-08-24,23,88,163000,170749.63333333333
2017-02-21,23,88,55500,60410.55781582819
2024-03-12,23,130,67800,63364.25291837793
2012-10-20,23,158,16000,16994.84076861699
2009-01-13,23,130,30500,29961.561719818204
2020-08-19,23,85,38000,39007.91567405525
2011-03-12,23,158,30000,29404.755283457787
2014-06-19,23,158,22750,22373.1071784458
2007-10-19,23,158,28500,27702.072843822843
2011-03-22,23,88,18000,17688.667044894097
2014-04-05,23,83,30300,33991.008101389365
2015-08-21,23,83,28500,32165.26457351606
2014-07-23,23,158,33000,33129.31718655598
2007-11-07,23,85,26000,28559.571317897295
2014-08-18,23,130,26400,26554.592489379665
2017-06-12,23,83,57300,59642.1583769686
2015-12-04,23,250,30000,30122.033242529327
2020-07-09,23,85,64000,66513.04107637088
2020-06-19,23,158,47500,49128.207633139726
2009-08-20,23,158,28900,27163.75746635757
2012-01-30,23,130,39000,34222.21409765928
